id,status,priority,created_at,updated_at,dispatched_at,estimated_delivery,origin_planet_id,origin_city,origin_continent,destination_id,route_id,permit_id,customs_status,package_count,declared_value_doop_dollars,insurance_value_doop_dollars,special_instructions,etag
shp_2b9n5w,submitted,standard,3002-07-04T10:05:00Z,3002-07-04T10:05:00Z,,,plnt_earth,New New York,North America,dst_decapod_10,,,declared,1,3400,0,,"W/""a7b8c9"""
shp_8k1p6r,in_transit,express,3002-06-18T14:00:00Z,3002-06-29T07:30:00Z,3002-06-19T02:00:00Z,3002-07-05T00:00:00Z,plnt_earth,Tijuana,North America,dst_amphibios_9,rte_7e2c8,prm_88320,approved,2,23400,30000,,"W/""d1e2f3"""
shp_4y7t3z,customs_review,urgent,3002-07-01T08:30:00Z,3002-07-03T16:00:00Z,,3002-07-18T00:00:00Z,plnt_earth,New New York,North America,dst_chapek_9,rte_7b3d1,prm_88478,flagged,1,450000,500000,Flagged by customs. Contraband suspected.,"W/""b5c6d7"""
shp_5c8w2n,delivered,standard,3002-04-05T11:15:00Z,3002-04-24T09:00:00Z,3002-04-06T05:30:00Z,3002-04-22T00:00:00Z,plnt_earth,New New York,North America,dst_mars,rte_2e8c3,prm_87850,approved,1,1200,0,,"W/""e8f9a1"""
shp_0n6k9b,draft,express,3002-07-05T09:00:00Z,3002-07-05T09:00:00Z,3002-07-05T12:00:00Z,3002-07-22T00:00:00Z,plnt_earth,New New York,North America,dst_neptune,rte_9f1a7,prm_88530,not_started,1,8900,10000,ANOMALY: dispatched_at is set while status is still draft,"W/""c2d3e4"""
shp_7w4m1t,in_transit,standard,3002-06-12T13:45:00Z,3002-06-28T10:00:00Z,3002-06-13T04:00:00Z,3002-07-08T00:00:00Z,plnt_earth,New New York,North America,dst_wormulon,rte_5d2b8,prm_88210,approved,2,8999.50,12000.75,ANOMALY: fractional DOOP dollars; spec says integers only,"W/""f5a6b7"""
shp_3z8n6c,delivered,express,1997-08-22T09:30:00Z,1997-09-14T11:00:00Z,1997-08-23T06:00:00Z,1997-09-12T00:00:00Z,plnt_earth,New New York,North America,dst_mars,rte_2e8c3,prm_00021,approved,1,5000,0,ANOMALY: 20th-century timestamps; spec prose says year >= 3000,"W/""a9b1c2"""
shp_9k2t5w,misplaced,standard,3002-06-08T16:20:00Z,3002-06-30T08:00:00Z,3002-06-09T07:00:00Z,3002-06-28T00:00:00Z,plnt_earth,New New York,North America,dst_trisol,rte_3a9e2,prm_88180,approved,1,3300,0,ANOMALY: status 'misplaced' is not in the ShipmentStatus enum,"W/""d3e4f5"""
shp_1p7c4n,in_transit,urgent,3002-06-22T07:00:00Z,3002-07-02T12:30:00Z,3002-06-22T20:00:00Z,3002-07-09T00:00:00Z,plnt_earth,New New York,North America,,rte_8f3c1,prm_88390,approved,1,15000,18000,ANOMALY: destination_id is empty but the spec marks it required,"W/""b8c9d1"""
shp_7x9k2m,in_transit,express,3002-06-14T08:12:00Z,3002-06-16T10:00:00Z,3002-06-14T22:00:00Z,3002-07-02T00:00:00Z,plnt_earth,New New York,North America,dst_omicron_persei_8,rte_4a2f9,prm_88213,approved,3,120000,150000,ANOMALY: duplicate id colliding with row 1 with a different updated_at,"W/""e1f2a3"""
shp_6b3w8k,in_transit,express,3002-06-26T10:30:00Z,3002-07-01T14:00:00Z,3002-06-27T08:00:00Z,3002-06-25T00:00:00Z,plnt_earth,New New York,North America,dst_osiris_4,rte_4f7a2,prm_88460,approved,1,19000,25000,ANOMALY: estimated_delivery precedes dispatched_at,"W/""c5d6e7"""
shp_2t9c5z,delivered,standard,3002-05-14T08:00:00Z,3002-06-01T15:45:00Z,3002-05-15T05:00:00Z,3002-05-31T00:00:00Z,plnt_earth,New New York,North America,dst_decapod_10,rte_1c9e4,prm_88070,approved,2,11000,15000,"ANOMALY: embedded comma, ""escaped quotes"", and unicode — ¡Cuidado! 🚀 Ω-class","W/""f8a9b1"""
shp_8n1w6p,crew_assigned,urgent,3002-07-02T11:20:00Z,3002-07-04T09:00:00Z,,3002-07-19T00:00:00Z,plnt_earth,New New York,North America,dst_cannibalon,rte_2c7f9,prm_88521,approved,4,67000,80000,ANOMALY: package_count says 4 but only 2 rows exist in packages.csv,"W/""a2b3c4"""
shp_4c7k3b,in_transit,standard,3002-06-16T15:00:00Z,3002-06-30T11:30:00Z,3002-06-17T06:00:00Z,3002-07-06T00:00:00Z,plnt_earth,New New York,North America,dst_nintenduu_64,rte_8c4f1,prm_88240,approved,1,4100,-5000,ANOMALY: negative insurance value,"W/""d6e7f8"""
shp_5w8t2n,delivered,doop_priority,3002-05-30T06:15:00Z,3002-06-14T18:00:00Z,3002-05-30T19:00:00Z,3002-06-13T00:00:00Z,plnt_earth,New New York,North America,dst_eternium,rte_1b8e5,prm_88160,approved,3,3400000,4000000,Professor's personal effects. Do not question the contents.,"W/""b9c1d2"""
shp_bulk01,in_transit,standard,3002-06-05T06:00:00Z,3002-07-04T18:00:00Z,3002-06-06T04:00:00Z,3002-07-15T00:00:00Z,plnt_earth,New New York,North America,dst_omicron_persei_8,rte_4a2f9,prm_88600,approved,420,1880000,2200000,Consolidated freight run. 420 packages on one manifest.,"W/""bulk001"""
